"deviceid","name","company_name"
210038,CARTAGENA 1,COLOMBINA S.A.
210039,CARTAGENA 2,COLOMBINA S.A.
261027,CAVA DE CONGELACION BARRANQUILLA 1,COLOMBINA S.A.
261028,PRECAMARA BARRANQUILLA,COLOMBINA S.A.
261029,CAVA DE CONGELACION BARRANQUILLA 2,COLOMBINA S.A.
261134,BOGOTA,COLOMBINA S.A.
500219,GEU498,COLOMBINA S.A.
902804,CONTENEDOR BUCARAMANGA,COLOMBINA S.A.
903240,GUR178,COLOMBINA S.A.
201209,CUARTOS FRIOS FUNZA,REFRILOGISTICA S . A . S .
904340,CONTENEDOR 1 (INT 180),REFRILOGISTICA S . A . S .
904361,CONTENEDOR 2 (INT 134),REFRILOGISTICA S . A . S .
200092,COOLER 1,UPS SCS (COLOMBIA) LTDA
200095,VESTIBULE FREEZER 1,UPS SCS (COLOMBIA) LTDA
200097,WAREHOUSE 3,UPS SCS (COLOMBIA) LTDA
200098,FREEZER 1,UPS SCS (COLOMBIA) LTDA
200099,WAREHOUSE,UPS SCS (COLOMBIA) LTDA
200100,WAREHOUSE 2,UPS SCS (COLOMBIA) LTDA
200101,CONTROLLED ROOM,UPS SCS (COLOMBIA) LTDA
201159,WAREHOUSE 4,UPS SCS (COLOMBIA) LTDA
261117,CALIBRACION1METROCAL,UPS SCS (COLOMBIA) LTDA
261129,FREEZER 2,UPS SCS (COLOMBIA) LTDA
31258,WLX654,Hugo Alberto Marin Salazar
31260,TMZ003,Hugo Alberto Marin Salazar
31263,WCP382,Hugo Alberto Marin Salazar
151769,VAE569,Hugo Alberto Marin Salazar
603639,JYW408,Hugo Alberto Marin Salazar
701273,TKH902,Hugo Alberto Marin Salazar
10605,TMZ084,CJBAKERY S.A
904891,TMZ084,CJBAKERY S.A
201010,CUARTOS FRIOS COTA,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S
201011,CUARTOS FRIOS 2 COTA,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S
201054,CF REFRIGERACION Y CONGELACION PLANTA BARRANQUILLA,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S
201055,CF 2 PLANTA BARRANQUILLA 2,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S
201056,CUARTOS FRIOS 2 MEDELLIN,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S
201057,CUARTOS FRIOS 1 MEDELLIN,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S
171307,XMA372,Oscar Daniel Medina Peña
30263,SZQ644,Guillermo Leon Osorno
30266,SSY710,Guillermo Leon Osorno
31058,WCN879,Carlos Arturo Diaz Cortez
601278,GDX161,AGROPECUARIA EL CAPORAL
601885,GDY244,AGROPECUARIA EL CAPORAL
701266,ESQ449,AGROPECUARIA EL CAPORAL
172706,TLY084,Aldemar Cano Peña
151294,WNQ898,Maria Herly Castillo Guzman
181633,ASF007,Maria Herly Castillo Guzman
150417,XFJ768,Jose Enrique Coconubo Estupiñan
30119,SXR528,Gilberto Caballero Moreno
30243,SRS172,Gilberto Caballero Moreno
151779,SKG119,Jose Berlau Garcia
30602,SNJ799,Roberto Julio Lasso Salas
30582,TTV335,Rito Antonio Zambrano Pinto
30066,WOS263,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.
30096,TKE848,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.
31519,SNX500,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.
602166,GTX797,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.
702351,VDX337,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.
702352,STC195,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.
151998,BFB874,PISCICOLA DE OCCIDENTE S.A.S.
160758,WMP975,PISCICOLA DE OCCIDENTE S.A.S.
172166,KEI609,PISCICOLA DE OCCIDENTE S.A.S.
601270,DSU870,PISCICOLA DE OCCIDENTE S.A.S.
601423,HXU627,PISCICOLA DE OCCIDENTE S.A.S.
160833,WLW684,PLAFA S.A
160850,TMW298,PLAFA S.A
