deviceid,company_name,totalLocations
201209,REFRILOGISTICA S . A . S .,291
904340,REFRILOGISTICA S . A . S .,296
904361,REFRILOGISTICA S . A . S .,297
200092,UPS SCS (COLOMBIA) LTDA,395
200095,UPS SCS (COLOMBIA) LTDA,324
200097,UPS SCS (COLOMBIA) LTDA,290
200098,UPS SCS (COLOMBIA) LTDA,483
200099,UPS SCS (COLOMBIA) LTDA,290
200100,UPS SCS (COLOMBIA) LTDA,387
200101,UPS SCS (COLOMBIA) LTDA,290
201159,UPS SCS (COLOMBIA) LTDA,291
261117,UPS SCS (COLOMBIA) LTDA,0
261129,UPS SCS (COLOMBIA) LTDA,621
31258,Hugo Alberto Marin Salazar,847
31260,Hugo Alberto Marin Salazar,123
31263,Hugo Alberto Marin Salazar,0
151769,Hugo Alberto Marin Salazar,0
603639,Hugo Alberto Marin Salazar,0
701273,Hugo Alberto Marin Salazar,202
10605,CJBAKERY S.A,148
904891,CJBAKERY S.A,0
201010,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S,448
201011,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S,351
201054,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S,331
201055,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S,487
201056,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S,541
201057,LA RECETTA SOLUCIONES GASTRONOMICAS INTEGRADAS S A S,421
171307,Oscar Daniel Medina Peña,214
30263,Guillermo Leon Osorno,3
30266,Guillermo Leon Osorno,82
31058,Carlos Arturo Diaz Cortez,588
601278,AGROPECUARIA EL CAPORAL,629
601885,AGROPECUARIA EL CAPORAL,629
701266,AGROPECUARIA EL CAPORAL,394
172706,Aldemar Cano Peña,24
151294,Maria Herly Castillo Guzman,84
181633,Maria Herly Castillo Guzman,123
150417,Jose Enrique Coconubo Estupiñan,97
30119,Gilberto Caballero Moreno,233
30243,Gilberto Caballero Moreno,431
151779,Jose Berlau Garcia,175
30602,Roberto Julio Lasso Salas,11
30582,Rito Antonio Zambrano Pinto,28
30066,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.,365
30096,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.,159
31519,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.,394
602166,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.,393
702351,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.,0
702352,INTERNACIONAL DE ABASTOS Y LICORES S.A.S.,0
151998,PISCICOLA DE OCCIDENTE S.A.S.,0
160758,PISCICOLA DE OCCIDENTE S.A.S.,337
172166,PISCICOLA DE OCCIDENTE S.A.S.,177
601270,PISCICOLA DE OCCIDENTE S.A.S.,44
601423,PISCICOLA DE OCCIDENTE S.A.S.,1163
160833,PLAFA S.A,605
160850,PLAFA S.A,288
160851,PLAFA S.A,495
181627,PLAFA S.A,356
201106,PLAFA S.A,379
201107,PLAFA S.A,333
201187,PLAFA S.A,339
210003,PLAFA S.A,345
210004,PLAFA S.A,436
210005,PLAFA S.A,345
261141,PLAFA S.A,321
261142,PLAFA S.A,319
261143,PLAFA S.A,296
602445,PLAFA S.A,467
604054,PLAFA S.A,101
171084,Francisco Javier Abello Duarte,38
152001,Carlos Andres Betancur Sanchez,233
152029,Carlos Andres Betancur Sanchez,180
30325,INVERSIONES PAYSANDU S.A.S.,221
30351,INVERSIONES PAYSANDU S.A.S.,163
30470,INVERSIONES PAYSANDU S.A.S.,74
31447,INVERSIONES PAYSANDU S.A.S.,249
31503,INVERSIONES PAYSANDU S.A.S.,375
37200,INVERSIONES PAYSANDU S.A.S.,418
151019,INVERSIONES PAYSANDU S.A.S.,277
151213,INVERSIONES PAYSANDU S.A.S.,183
151718,INVERSIONES PAYSANDU S.A.S.,212
152393,INVERSIONES PAYSANDU S.A.S.,365
152430,INVERSIONES PAYSANDU S.A.S.,319
152704,INVERSIONES PAYSANDU S.A.S.,209
160018,INVERSIONES PAYSANDU S.A.S.,531
160189,INVERSIONES PAYSANDU S.A.S.,360
160275,INVERSIONES PAYSANDU S.A.S.,329
160453,INVERSIONES PAYSANDU S.A.S.,289
160689,INVERSIONES PAYSANDU S.A.S.,439
160794,INVERSIONES PAYSANDU S.A.S.,514
161034,INVERSIONES PAYSANDU S.A.S.,0
161133,INVERSIONES PAYSANDU S.A.S.,311
161238,INVERSIONES PAYSANDU S.A.S.,192
161263,INVERSIONES PAYSANDU S.A.S.,475
161311,INVERSIONES PAYSANDU S.A.S.,295
161441,INVERSIONES PAYSANDU S.A.S.,145
170621,INVERSIONES PAYSANDU S.A.S.,397
171096,INVERSIONES PAYSANDU S.A.S.,423
171100,INVERSIONES PAYSANDU S.A.S.,343
171666,INVERSIONES PAYSANDU S.A.S.,180
172037,INVERSIONES PAYSANDU S.A.S.,347
172416,INVERSIONES PAYSANDU S.A.S.,222
172455,INVERSIONES PAYSANDU S.A.S.,308
181330,INVERSIONES PAYSANDU S.A.S.,289
400788,INVERSIONES PAYSANDU S.A.S.,326
400789,INVERSIONES PAYSANDU S.A.S.,696
401053,INVERSIONES PAYSANDU S.A.S.,321
401054,INVERSIONES PAYSANDU S.A.S.,541
601588,INVERSIONES PAYSANDU S.A.S.,412
601904,INVERSIONES PAYSANDU S.A.S.,373
602356,INVERSIONES PAYSANDU S.A.S.,0
602713,INVERSIONES PAYSANDU S.A.S.,336
701265,INVERSIONES PAYSANDU S.A.S.,301
902200,INVERSIONES PAYSANDU S.A.S.,239
903317,INVERSIONES PAYSANDU S.A.S.,496
904071,INVERSIONES PAYSANDU S.A.S.,357
905079,INVERSIONES PAYSANDU S.A.S.,419
905162,INVERSIONES PAYSANDU S.A.S.,382
905294,INVERSIONES PAYSANDU S.A.S.,0
2141462656,INVERSIONES PAYSANDU S.A.S.,0
30462,German Archila Rodriguez,202
31401,German Alberto Penagos,138
37677,RECUPERACIONES NARANJO RECYCLING SAS,160
37708,RECUPERACIONES NARANJO RECYCLING SAS,883
39738,RECUPERACIONES NARANJO RECYCLING SAS,155
152331,RECUPERACIONES NARANJO RECYCLING SAS,144
170449,RECUPERACIONES NARANJO RECYCLING SAS,177
170517,RECUPERACIONES NARANJO RECYCLING SAS,0
